id,sku,category,manufacturer,uom,base_material_cost,base_labor_minutes,active,install_labor_family,violation_flags
inpro-hr-1600,INPRO-HR-1600,Wall Protection,Inpro,LF,56,16,1,,missing_install_labor_family;
inpro-palladium-sheet,INPRO-PALLADIUM-SHEET,Wall Protection,Inpro,SF,9.25,4,1,,missing_install_labor_family;
inpro-sheet-040,INPRO-SHEET-040,Wall Protection,Inpro,SF,8.25,4,1,,missing_install_labor_family;
ives-8302-4x16-630,IVES-8302-4X16-630,Wall Protection,Ives,EA,38,15,1,,missing_install_labor_family;
ives-8303-4x16-630,IVES-8303-4X16-630,Wall Protection,Ives,EA,45,15,1,,missing_install_labor_family;
ives-8400-10x34-630,IVES-8400-10X34-630,Wall Protection,Ives,EA,45,15,1,,missing_install_labor_family;
ives-8400-34x34-630,IVES-8400-34X34-630,Wall Protection,Ives,EA,220.69,30,1,,missing_install_labor_family;
ives-8400-6x34-630,IVES-8400-6X34-630,Wall Protection,Ives,EA,27.33,15,1,,missing_install_labor_family;
ives-8400-8x34-630,IVES-8400-8X34-630,Wall Protection,Ives,EA,35.9,15,1,,missing_install_labor_family;
ives-8400-pblk-10x34,IVES-8400-PBLK-10X34,Wall Protection,Ives,EA,28.63,15,1,,missing_install_labor_family;
ives-8402-10x34-630,IVES-8402-10X34-630,Wall Protection,Ives,EA,92.92,20,1,,missing_install_labor_family;
jl-1013g10,JL-1013G10,Fire Specialties,JL Industries,EA,205,45,1,,missing_install_labor_family;
jl-1015f10,JL-1015F10,Fire Specialties,JL Industries,EA,245,60,1,,missing_install_labor_family;
8320-001240,8320-001240,Toilet Accessories,Bradley,EA,49.76,30,1,,missing_install_labor_family;
karp-dsc214m-1212,KARP-DSC214M-1212,Access Panels,Karp Associates,EA,85,45,1,,missing_install_labor_family;
karp-dsc214m-2424,KARP-DSC214M-2424,Access Panels,Karp Associates,EA,165,60,1,,missing_install_labor_family;
karp-fr-2424,KARP-FR-2424,Access Panels,Karp Associates,EA,375,90,1,,missing_install_labor_family;
kirsch-94004,KIRSCH-94004,Cubicle Curtains & Track,Kirsch,EA,18.5,30,1,,missing_install_labor_family;
koro-g800,KORO-G800,Wall Protection,Koroseal/Korogard,EA,64,30,1,,missing_install_labor_family;
koro-hr-k,KORO-HR-K,Wall Protection,Koroseal/Korogard,LF,55,16,1,,missing_install_labor_family;
koro-sheet-500,KORO-SHEET-500,Wall Protection,Koroseal/Korogard,SF,9.25,4,1,,missing_install_labor_family;
knox-3200-rec-db,KNOX-3200-REC-DB,Fire Specialties,Knox,EA,650,90,1,,missing_install_labor_family;
knox-3200-sm-blk,KNOX-3200-SM-BLK,Fire Specialties,Knox,EA,550,60,1,,missing_install_labor_family;
lar-2409-6r,LAR-2409-6R,Fire Specialties,Larsen's Manufacturing,EA,275,75,1,,missing_install_labor_family;
8320-001300,8320-001300,Toilet Accessories,Bradley,EA,50.59,30,1,,missing_install_labor_family;
madrax-post-ring,MADRAX-POST-RING,Bike Racks,Madrax,EA,189,60,1,,missing_install_labor_family;
madrax-square-u-qs,MADRAX-SQUARE-U-QS,Bike Racks,Madrax,EA,229,60,1,,missing_install_labor_family;
madrax-u-qs,MADRAX-U-QS,Bike Racks,Madrax,EA,169,60,1,,missing_install_labor_family;
madrax-u24-qs,MADRAX-U24-QS,Bike Racks,Madrax,EA,179,60,1,,missing_install_labor_family;
madrax-u24-rail-4,MADRAX-U24-RAIL-4,Bike Racks,Madrax,EA,399,90,1,,missing_install_labor_family;
madrax-ux-qs,MADRAX-UX-QS,Bike Racks,Madrax,EA,189,60,1,,missing_install_labor_family;
madrax-wall-rack,MADRAX-WALL-RACK,Bike Racks,Madrax,EA,119,45,1,,missing_install_labor_family;
maglin-mlwr200,MAGLIN-MLWR200,Waste & Recycling Receptacles,Maglin,EA,950,60,1,,missing_install_labor_family;
maglin-mlwr300,MAGLIN-MLWR300,Waste & Recycling Receptacles,Maglin,EA,1050,60,1,,missing_install_labor_family;
mail-4c-12,MAIL-4C-12,Postal Specialties,Generic,EA,1450,210,1,,missing_install_labor_family;
mail-4c-outgoing,MAIL-4C-OUTGOING,Postal Specialties,Generic,EA,225,45,1,,missing_install_labor_family;
mail-4c-parcel,MAIL-4C-PARCEL,Postal Specialties,Generic,EA,950,120,1,,missing_install_labor_family;
asi-1204-v,ASI-1204-V,Toilet Accessories,American Specialties Inc.,EA,28,10,1,,missing_install_labor_family;
mail-4c-filler-lf,MAIL-4C-FILLER-LF,Postal Specialties,Allowance,LF,35,10,1,,missing_install_labor_family;
mail-4c-roughopening-template,MAIL-4C-ROUGHOPENING-TEMPLATE,Postal Specialties,Allowance,EA,125,45,1,,missing_install_labor_family;
mail-cbu-08,MAIL-CBU-08,Postal Specialties,Generic,EA,1150,180,1,,missing_install_labor_family;
mail-cbu-12,MAIL-CBU-12,Postal Specialties,Generic,EA,1650,210,1,,missing_install_labor_family;
mail-cbu-16,MAIL-CBU-16,Postal Specialties,Generic,EA,2100,240,1,,missing_install_labor_family;
